index,fecha,hora,codigo_defecto,alerta,especificacion
96,22/08/2005,05:04:17,[5633],<WARNING>,Head14 pick up the edge of Part 34-14626-of Feeder R15
97,22/08/2005,05:04:17,[5633],<WARNING>,Head13 pick up the edge of Part 34-14626-of Feeder R15
98,22/08/2005,05:04:17,[5633],<WARNING>,Head15 pick up the edge of Part 34-14626-of Feeder R15
99,22/08/2005,05:04:18,[5101],<WARNING>,Head12 Feeder R15 Part 34-14626-The retry count for part pickup was exceeded for the tape feeder.
100,22/08/2005,05:04:18,[5101],<WARNING>,Head14 Feeder R15 Part 34-14626-The retry count for part pickup was exceeded for the tape feeder.
101,22/08/2005,05:04:18,[5101],<WARNING>,Head11 Feeder R15 Part 34-14626-The retry count for part pickup was exceeded for the tape feeder.
102,22/08/2005,05:04:18,[5101],<WARNING>,Head13 Feeder R15 Part 34-14626-The retry count for part pickup was exceeded for the tape feeder.
103,22/08/2005,05:04:18,[5101],<WARNING>,Head15 Feeder R15 Part 34-14626-The retry count for part pickup was exceeded for the tape feeder.
109,22/08/2005,05:22:50,[0950],<WARNING>,The teaching box was disabled at the front.
110,22/08/2005,05:22:50,[0954],<WARNING>,The teaching box was enabled at the rear side.
139,22/08/2005,06:16:22,[5011],<WARNING>,[IT System] Vacant slot exists in the feeder base.
152,22/08/2005,06:16:30,[5804],<WARNING>,Feeder F45 Part  Clamp Unlocked
153,22/08/2005,06:16:30,[5804],<WARNING>,Feeder F45 Part  Clamp Unlocked
160,22/08/2005,06:16:39,[0953],<WARNING>,The teaching box was enabled at the front side.
161,22/08/2005,06:16:39,[0951],<WARNING>,The teaching box was disabled at the rear.
178,22/08/2005,06:17:30,[5011],<WARNING>,[IT System] Vacant slot exists in the feeder base.
184,22/08/2005,06:17:38,[5011],<WARNING>,[IT System] Vacant slot exists in the feeder base.
186,22/08/2005,06:17:44,[0950],<WARNING>,The teaching box was disabled at the front.
187,22/08/2005,06:17:44,[0954],<WARNING>,The teaching box was enabled at the rear side.
244,22/08/2005,06:21:44,[aa0f],<WARNING>, F46 Head4 35-11527-Height of parts lead is recognized lower than its real one.
245,22/08/2005,06:21:48,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
246,22/08/2005,06:21:48,[aa1f],<WARNING>, F46 Head5 35-11527-Failed to pick up a part properly.
249,22/08/2005,06:21:52,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
250,22/08/2005,06:21:54,[aa1f],<WARNING>, F46 Head5 35-11527-Failed to pick up a part properly.
251,22/08/2005,06:21:56,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
252,22/08/2005,06:21:58,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
253,22/08/2005,06:22:00,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
254,22/08/2005,06:22:03,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
255,22/08/2005,06:22:04,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
256,22/08/2005,06:22:06,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
257,22/08/2005,06:22:08,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
258,22/08/2005,06:22:09,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
259,22/08/2005,06:22:11,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
260,22/08/2005,06:22:13,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
261,22/08/2005,06:22:14,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
262,22/08/2005,06:22:15,[5101],<WARNING>,Head4 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
268,22/08/2005,06:22:29,[0953],<WARNING>,The teaching box was enabled at the front side.
269,22/08/2005,06:22:29,[0951],<WARNING>,The teaching box was disabled at the rear.
278,22/08/2005,06:22:31,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
279,22/08/2005,06:22:31,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
281,22/08/2005,06:22:33,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
283,22/08/2005,06:22:38,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
284,22/08/2005,06:22:38,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
285,22/08/2005,06:22:39,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
286,22/08/2005,06:22:41,[5101],<WARNING>,Head5 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
287,22/08/2005,06:22:41,[5101],<WARNING>,Head2 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
288,22/08/2005,06:22:41,[5101],<WARNING>,Head4 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
307,22/08/2005,06:24:16,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
308,22/08/2005,06:24:16,[aa0f],<WARNING>, F46 Head5 35-11527-Height of parts lead is recognized lower than its real one.
309,22/08/2005,06:24:18,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
310,22/08/2005,06:24:20,[aa1f],<WARNING>, F46 Head2 35-11527-Failed to pick up a part properly.
311,22/08/2005,06:24:22,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
312,22/08/2005,06:24:24,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
316,22/08/2005,06:24:34,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
317,22/08/2005,06:24:35,[aa1f],<WARNING>, F46 Head4 35-11527-Failed to pick up a part properly.
321,22/08/2005,06:24:55,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
322,22/08/2005,06:24:58,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
323,22/08/2005,06:25:00,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
324,22/08/2005,06:25:04,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
325,22/08/2005,06:25:07,[aa0f],<WARNING>, F46 Head4 35-11527-Height of parts lead is recognized lower than its real one.
326,22/08/2005,06:25:09,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
327,22/08/2005,06:25:10,[5611],<WARNING>,Head4 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
328,22/08/2005,06:25:10,[5101],<WARNING>,Head4 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
339,22/08/2005,06:25:24,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
340,22/08/2005,06:25:27,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
341,22/08/2005,06:25:27,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
342,22/08/2005,06:25:29,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
343,22/08/2005,06:25:30,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
344,22/08/2005,06:25:30,[5101],<WARNING>,Head5 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
345,22/08/2005,06:25:30,[5101],<WARNING>,Head2 Feeder F46 Part 35-11527-The retry count for part pickup was exceeded for the tape feeder.
358,22/08/2005,06:25:58,[5611],<WARNING>,Head2 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
359,22/08/2005,06:25:58,[aa1f],<WARNING>, F46 Head2 35-11527-Failed to pick up a part properly.
360,22/08/2005,06:26:00,[5611],<WARNING>,Head5 Pneumatic error was occurred during pickup part 35-11527-from tape feeder F46.
